timestamp_ms,equity,inventory,cash,mid
1786648615218,100009.72079994647,-0.10459,106638.68729494647,63380.5
1786648620600,100009.61632801473,-0.10459,106638.68741301473,63381.5
1786648626037,100008.25679991572,-0.10459,106638.68755491571,63394.5
1786648631443,100008.25691584428,-0.10459,106638.68767084427,63394.5
1786648636807,100008.25703170466,-0.10459,106638.68778670466,63394.5
1786648642173,100006.79291329358,-0.10459,106638.68792829358,63408.5
1786648647546,100006.79302989262,-0.10459,106638.68804489262,63408.5
1786648652934,100006.68855805839,-0.10459,106638.6881630584,63409.5
1786648658322,100006.47949369336,-0.10459,106638.68827869336,63411.5
1786648663672,100006.47963572454,-0.10459,106638.68842072453,63411.5
1786648669049,100005.85221159463,-0.10459,106638.68853659462,63417.5
1786648674473,100005.64314970939,-0.10459,106638.68865470939,63419.5
1786648679831,100005.6432898722,-0.10459,106638.6887948722,63419.5
1786648685151,100005.64341031614,-0.10459,106638.68891531615,63419.5
1786648690506,100005.64352796893,-0.10459,106638.68903296893,63419.5
1786648695947,100005.64364684248,-0.10459,106638.68915184248,63419.5
1786648701361,100005.6437875283,-0.10459,106638.6892925283,63419.5
1786648706420,100005.74847104246,-0.10459,106638.68938604246,63418.5
1786648711779,100007.31746455003,-0.10459,106638.68952955003,63403.5
1786648717238,100007.31758050302,-0.10459,106638.68964550302,63403.5
1786648722284,100007.31769829777,-0.10459,106638.68976329778,63403.5
1786648727841,100007.00404468719,-0.10459,106638.68987968718,63406.5
1786648732858,100007.00416029742,-0.10459,106638.68999529742,63406.5
1786648738267,100007.00429969632,-0.10459,106638.69013469631,63406.5
1786648743690,100007.00441799263,-0.10459,106638.69025299263,63406.5
1786648749120,100007.00455743007,-0.10459,106638.69039243007,63406.5
1786648754525,100007.00467543204,-0.10459,106638.69051043203,63406.5
1786648759883,100007.0047926978,-0.10459,106638.6906276978,63406.5
1786648765253,100007.00490918056,-0.10459,106638.69074418055,63406.5
1786648770634,100007.0050494527,-0.10459,106638.69088445269,63406.5
1786648775665,100007.00516579728,-0.10459,106638.69100079728,63406.5
